Etape,Probabilite,Actif,Devise,MRR attendu,Equipe_commerciale,Gagnee_Perdue,Couleur,Opportunite,Revenu_attendu,Client,Priorite,Vendeur
Prospects,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de ags congo demenagement internationaux sarl,0,inconnu,Basse,Prince NGOMA
Prospects,79.22,1.0,XAF,0,Ventes,En attente,0,opportunit de group engineering congo,0,inconnu,Basse,Prince NGOMA
Prospects,79.22,1.0,XAF,0,Ventes,En attente,0,opportunit de transportation logistic consulting congo,0,inconnu,Basse,Prince NGOMA
Prospects,79.22,1.0,XAF,0,Ventes,En attente,0,opportunit de jaipur restaurant,0,inconnu,Basse,Prince NGOMA
Prospects,79.22,1.0,XAF,0,Ventes,En attente,0,opportunit de psdc congo,0,inconnu,Basse,Prince NGOMA
Prospects,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de congo contracting,0,inconnu,Basse,Prince NGOMA
Prospects,98.78,1.0,XAF,0,Ventes,En attente,0,opportunit de seatec congo,0,seatec congo,Basse,Prince NGOMA
Prospects,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de cabinet dentaire seminet,0,inconnu,Basse,Prince NGOMA
Prospects,79.22,1.0,XAF,0,Ventes,En attente,0,opportunit de global access congo,0,inconnu,Basse,Prince NGOMA
Prospects,79.22,1.0,XAF,0,Ventes,En attente,0,opportunit de picp,0,inconnu,Basse,Prince NGOMA
Prospects,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de netcarecongo,0,inconnu,Basse,Prince NGOMA
Prospects,98.77,1.0,XAF,0,Ventes,En attente,0,opportunit de mfb congo,0,mfb congo,Basse,Prince NGOMA
Prospects,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de cabinet nks expertise,0,inconnu,Basse,Prince NGOMA
Prospects,79.22,1.0,XAF,0,Ventes,En attente,0,opportunit de ecole football club nathalys,0,inconnu,Basse,Prince NGOMA
Prospects,79.22,1.0,XAF,0,Ventes,En attente,0,opportunit de pharmacie de lhopital,0,peguelauriellehotmailcom,Basse,Prince NGOMA
Prospects,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de alberto santo assurances,0,inconnu,Basse,Prince NGOMA
Prospects,79.22,1.0,XAF,0,Ventes,En attente,0,opportunit de cabs pro,0,cabs pro,Basse,Prince NGOMA
Proposition,99.51,1.0,XAF,0,Ventes,En attente,0,opportunit de rovick massala,10701,rovick massala,Basse,Prince NGOMA
Proposition,99.29,1.0,XAF,0,Ventes,En attente,0,opportunit de amtech expertises sarl,1800000,amtech expertises sarl,Basse,Prince NGOMA
Proposition,99.38,1.0,XAF,0,Ventes,En attente,0,opportunit de sl production,14862500,sl production mr caustodel,Basse,Prince NGOMA
Proposition,99.5,1.0,XAF,0,Ventes,En attente,0,opportunit de doxa consulting,238900,doxa consulting omen chanel,Basse,Prince NGOMA
Proposition,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de management organisationnel,53505,management organisationnel john ebe,Basse,Prince NGOMA
Proposition,79.22,1.0,XAF,0,Ventes,En attente,0,opportunit de boukaka,15159750,bouktech mr boukaka,Basse,Prince NGOMA
Proposition,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de sl production,298350,sl production mr caustodel,Basse,Prince NGOMA
Proposition,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de ets kgf,288901,ets kgf mme fariole,Basse,Prince NGOMA
Proposition,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de ndt tech solutions,298350,ndt tech solutions mr gilles,Basse,Prince NGOMA
Proposition,79.22,1.0,XAF,0,Ventes,En attente,0,opportunit de kwiza beach pnr,14000,kwiza beach pnr rovick massala,Basse,Prince NGOMA
Proposition,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de emeraude sante assurances et reassurances congo,25682400,emeraude sante assurances et reassurances congo john ebe,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de amtech expertises sarl,121278,amtech expertises sarl,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de emerson,47000,emerson,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de centre medical la colombe,87912,centre medical la colombe,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de amtech expertises sarl,5351,amtech expertises sarl,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de urielle cambeau,17835,urielle cambeau,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de paola mapaga,20213,paola mapaga,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de willis towers watson,19619,gracia ikouadja,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de desmon kibinda,314847,desmon kibinda,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de particulier,5945,particulier prince,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de kwiza beach pnr,1784,kwiza beach pnr rovick massala,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de kwiza beach pnr,19024,kwiza beach pnr rovick massala,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de kwiza beach pnr,11058,kwiza beach pnr rovick massala,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de willis towers watson,28536,willis towers watson gracia ikouadja,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de particulier,150000,avenir plus moussa yara,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de centre medical la colombe,175000,centre medical la colombe louisan ngoma,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de particulier,374535,particulier desmon esperith kibinda,Basse,Prince NGOMA
Gagné,100.0,1.0,XAF,0,Ventes,Gagné,0,opportunit de willis towers watson,285063,willis towers watson thierryrobert nsikou,Basse,Prince NGOMA
